-5.917,-5.16,-4.177,-1.587,-8.098,-14.27,-8.133,-5.743
-6.982,-5.712,-4.53,-1.415,-6.992,-13.331,-6.82,-4.629
-7.315,-5.477,-3.817,-0.541,-4.888,-10.332,-3.968,-2.495
-6.521,-4.627,-2.274,0.922,-2.258,-6.343,-0.374,0.212
-4.669,-3.574,-0.507,2.525,0.169,-2.769,2.962,2.732
-2.293,-2.783,0.78,3.69,1.712,-0.707,5.256,4.294
-0.165,-2.607,1.086,3.965,1.968,-0.578,6.128,4.429
1.041,-3.142,0.348,3.243,0.971,-2.045,5.638,3.227
1.048,-4.146,-1.017,1.821,-0.799,-4.154,4.248,1.369
0.085,-5.112,-2.319,0.246,-2.586,-5.72,2.662,-0.17
-1.267,-5.513,-2.961,-0.944,-3.665,-5.812,1.544,-0.617
-2.413,-5.078,-2.741,-1.424,-3.637,-4.086,1.238,0.248
-3.052,-3.936,-1.912,-1.177,-2.572,-0.857,1.664,2.049
-3.264,-2.563,-1.011,-0.453,-0.958,3.015,2.402,4.031
-3.353,-1.545,-0.562,0.383,0.52,6.334,2.879,5.411
-3.587,-1.295,-0.788,1.054,1.304,7.952,2.585,5.713
-4.028,-1.832,-1.474,1.494,1.233,7.288,1.317,4.976
-4.529,-2.773,-2.072,1.826,0.62,4.664,-0.68,3.714
-4.863,-3.551,-2.034,2.202,0.051,1.168,-2.812,2.594
-4.806,-3.71,-1.145,2.677,0.045,-1.902,-4.455,2.068
-4.142,-3.079,0.372,3.208,0.816,-3.583,-5.249,2.188
-2.704,-1.784,2.042,3.736,2.238,-3.535,-5.18,2.714
-0.555,-0.166,3.411,4.229,3.932,-2.097,-4.499,3.304
1.891,1.332,4.213,4.637,5.389,-0.191,-3.599,3.644
4.003,2.318,4.405,4.862,6.142,1.008,-2.893,3.513
5.286,2.618,4.13,4.819,6.015,0.684,-2.622,2.873
5.626,2.338,3.626,4.487,5.243,-1.097,-2.705,1.925
5.228,1.729,3.034,3.866,4.285,-3.463,-2.815,0.971
4.366,0.93,2.2,2.841,3.411,-5.431,-2.689,0.149
3.168,-0.184,0.656,1.141,2.429,-6.618,-2.377,-0.679
1.61,-1.878,-2.053,-1.48,0.858,-7.364,-2.189,-1.758
-0.331,-4.27,-5.9,-4.941,-1.6,-8.285,-2.413,-3.156
-2.529,-7.131,-10.173,-8.687,-4.701,-9.741,-3.078,-4.663
-4.656,-9.925,-13.74,-11.853,-7.707,-11.581,-3.941,-5.928
-6.238,-11.956,-15.549,-13.606,-9.703,-13.193,-4.638,-6.631
