-1.971,1.135,5.211,5.62,4.075,-0.198,-3.668,1.883
-2.597,-0.044,4.426,3.945,2.223,-2.264,-5.249,0.228
-3.596,-1.753,3.02,2.163,0.333,-4.079,-5.981,-1.137
-4.696,-3.557,1.076,0.573,-1.241,-5.138,-5.838,-1.937
-5.592,-4.914,-1.106,-0.608,-2.186,-5.045,-4.875,-1.956
-6.088,-5.427,-3.066,-1.333,-2.4,-3.829,-3.33,-1.198
-6.139,-4.985,-4.336,-1.711,-2.03,-1.964,-1.622,0.041
-5.801,-3.814,-4.656,-1.946,-1.416,-0.167,-0.265,1.243
-5.165,-2.41,-4.124,-2.267,-0.987,0.877,0.278,1.844
-4.332,-1.341,-3.137,-2.838,-1.091,0.773,-0.233,1.464
-3.443,-0.996,-2.19,-3.672,-1.818,-0.463,-1.697,0.051
-2.742,-1.482,-1.672,-4.607,-2.945,-2.508,-3.726,-2.134
-2.5,-2.634,-1.728,-5.365,-4.059,-4.927,-5.799,-4.632
-2.794,-4.056,-2.155,-5.673,-4.759,-7.26,-7.367,-6.882
-3.31,-5.162,-2.442,-5.368,-4.812,-8.985,-7.923,-8.326
-3.449,-5.362,-2.04,-4.474,-4.237,-9.592,-7.16,-8.592
-2.734,-4.401,-0.768,-3.222,-3.332,-8.842,-5.179,-7.666
-1.174,-2.585,0.971,-1.995,-2.578,-6.982,-2.51,-5.914
0.713,-0.647,2.396,-1.164,-2.434,-4.696,0.1,-3.891
2.219,0.675,2.852,-0.918,-3.077,-2.837,1.947,-2.097
2.847,1.025,2.197,-1.165,-4.284,-2.111,2.542,-0.801
2.575,0.562,0.89,-1.559,-5.515,-2.791,1.753,0.0
1.895,-0.111,-0.189,-1.616,-6.115,-4.486,-0.047,0.531
1.63,-0.152,-0.066,-0.868,-5.512,-6.128,-1.984,1.125
2.513,1.143,1.87,0.947,-3.417,-6.39,-3.021,2.072
4.687,3.855,5.392,3.68,-0.048,-4.479,-2.506,3.438
7.474,7.172,9.34,6.695,3.799,-0.764,-0.581,4.954
9.647,9.69,12.117,9.083,6.989,3.287,1.866,6.108
10.069,10.188,12.52,10.054,8.526,5.872,3.666,6.424
8.249,8.289,10.318,9.285,7.971,5.785,3.934,5.724
4.549,4.586,6.253,7.017,5.559,2.962,2.442,4.191
0.043,0.291,1.622,3.9,2.052,-1.544,-0.328,2.25
-3.903,-3.312,-2.269,0.721,-1.563,-6.05,-3.399,0.392
-6.229,-5.391,-4.595,-1.879,-4.425,-9.023,-5.743,-1.001
-6.706,-5.906,-5.3,-3.616,-6.101,-9.842,-6.816,-1.836
-6.035,-5.597,-5.027,-4.603,-6.729,-9.083,-6.858,-2.374
-5.347,-5.48,-4.652,-5.181,-6.835,-8.044,-6.663,-3.062
-5.423,-6.121,-4.67,-5.595,-6.891,-7.754,-6.919,-4.144
-6.189,-7.217,-4.899,-5.737,-6.929,-8.231,-7.647,-5.397
-6.871,-7.85,-4.724,-5.244,-6.57,-8.565,-8.207,-6.251
-6.581,-7.152,-3.663,-3.864,-5.413,-7.632,-7.76,-6.185
