-5.311,-5.658,-9.8,-9.131,-4.711,-9.885,-8.215,-4.937
-8.393,-7.208,-11.098,-10.174,-4.801,-6.905,-5.387,-4.55
-12.325,-9.068,-12.707,-11.81,-5.619,-1.53,-3.619,-5.755
-13.423,-8.895,-12.114,-11.453,-4.861,3.706,-2.094,-6.923
-11.022,-7.062,-9.133,-8.271,-2.191,5.425,0.523,-5.853
-6.875,-3.945,-4.306,-3.263,2.362,7.323,5.58,-1.74
-2.794,-0.977,0.993,1.507,7.287,9.204,10.963,3.276
-0.477,-0.98,3.492,3.71,8.541,4.972,10.786,5.811
-0.42,-3.788,2.418,3.133,5.461,-3.326,4.838,5.216
-0.83,-5.918,1.039,1.864,2.304,-9.275,-0.689,3.569
-0.204,-5.418,1.541,1.315,2.045,-10.292,-0.946,3.234
0.9,-3.559,3.078,0.997,3.233,-6.849,2.113,4.097
1.378,-1.885,4.223,0.003,3.632,-1.133,4.793,3.801
0.496,-1.384,4.064,-1.832,2.97,4.543,6.52,2.017
-1.268,-2.228,2.559,-3.74,1.971,7.693,6.841,0.329
-1.273,-2.652,0.968,-4.457,1.367,8.143,6.365,-0.86
1.94,-1.052,0.584,-3.798,1.851,9.985,7.104,-2.052
6.136,1.912,1.775,-2.409,3.603,14.41,9.501,-2.689
8.651,3.857,3.444,-0.842,4.691,14.708,10.425,-2.145
9.077,3.839,4.525,0.365,3.605,6.181,5.768,-1.343
7.64,1.886,4.317,0.442,0.777,-7.713,-3.17,-1.87
5.505,-1.229,2.658,-0.502,-2.132,-18.279,-9.55,-3.308
4.915,-2.9,1.276,-1.247,-3.164,-19.726,-10.52,-3.946
5.46,-2.795,1.018,-1.207,-2.875,-17.148,-10.545,-3.261
4.49,-2.578,0.597,-1.097,-3.186,-15.017,-11.671,-2.298
1.03,-3.126,-1.263,-2.23,-4.909,-11.81,-11.621,-2.595
-3.534,-4.591,-4.177,-4.35,-7.147,-8.789,-10.597,-3.657
-7.548,-6.378,-6.796,-6.644,-8.847,-7.167,-9.65,-4.946
-9.194,-6.816,-7.678,-8.352,-9.151,-3.587,-6.652,-6.196
-6.606,-4.666,-5.499,-7.716,-7.245,1.928,-2.803,-5.764
-2.124,-2.253,-2.356,-5.819,-5.515,3.192,-3.348,-5.224
0.329,-1.482,-0.984,-4.618,-6.042,-1.142,-7.876,-5.82
1.121,-0.594,-0.157,-3.019,-6.545,-6.448,-11.374,-5.234
1.333,1.092,1.015,-1.056,-5.238,-8.558,-10.395,-3.63
0.7,2.619,1.707,-0.174,-3.296,-6.917,-6.248,-1.927
-0.791,2.863,1.328,-0.636,-2.3,-5.072,-3.467,-0.407
-2.926,0.466,-0.032,-1.604,-2.349,-5.853,-2.745,0.668
-4.222,-3.064,-0.658,-1.381,-2.072,-7.145,-1.198,2.453
-2.477,-3.49,1.477,1.489,0.374,-3.113,3.387,5.893
1.522,-0.828,4.86,5.438,3.925,5.943,9.795,9.211
4.115,0.965,5.597,6.78,4.917,12.432,13.15,9.33
3.93,1.036,3.623,4.895,2.973,12.477,11.889,6.78
2.729,-0.011,1.334,1.753,-0.234,6.797,8.006,3.447
2.299,-2.194,-0.216,-0.56,-3.653,-1.423,3.148,0.142
3.325,-3.51,0.026,-0.419,-5.123,-5.967,0.142,-0.984
6.358,-0.802,3.28,2.565,-2.182,-1.645,3.076,1.951
9.912,4.361,7.427,6.345,2.837,5.58,8.112,5.666
9.932,6.343,8.165,7.576,4.291,5.278,6.095,5.321
6.183,4.561,5.939,6.305,2.956,1.033,0.613,3.383
2.071,2.269,3.476,4.593,2.316,-0.53,-1.85,4.1
-1.246,0.043,0.475,2.621,1.158,-1.389,-3.363,5.447
-2.974,-1.613,-2.251,0.825,-0.817,-1.678,-3.83,5.264
-1.493,-0.748,-2.464,0.502,-1.789,0.114,-2.004,5.019
1.189,0.942,-1.781,0.335,-2.859,1.025,-1.323,4.002
2.117,0.031,-2.613,-1.258,-5.32,-1.717,-3.961,1.367
1.513,-2.815,-4.074,-3.212,-7.557,-6.254,-6.853,-0.842
0.855,-3.983,-4.327,-3.922,-7.3,-7.544,-5.889,-1.178
1.376,-1.581,-2.821,-2.661,-4.247,-3.331,-0.901,0.331
2.378,1.556,-1.147,-0.272,-0.576,1.957,4.27,2.671
2.46,2.779,-0.475,2.144,2.188,3.981,7.108,5.467
1.816,3.05,-0.312,3.965,3.83,2.077,6.832,7.877
0.599,3.0,-0.693,4.715,4.186,-2.144,3.873,8.556
-1.411,2.292,-1.488,4.752,3.92,-5.008,1.521,8.444
-3.407,1.642,-1.764,4.712,3.838,-4.191,2.181,8.571
-4.017,2.065,-1.117,4.561,3.501,-0.238,3.821,7.665
-3.765,1.672,-0.859,3.398,1.039,1.797,2.557,4.199
-3.87,-1.13,-1.815,1.144,-3.213,-0.857,-0.821,-0.193
-3.407,-3.14,-2.199,-0.451,-5.28,-1.621,-1.121,-1.831
-2.006,-2.319,-1.258,-0.553,-3.771,2.764,2.215,-0.69
-1.316,-1.361,-0.746,-0.341,-1.866,3.84,3.115,-0.085
-1.091,-0.772,0.047,0.528,0.225,0.599,2.26,-0.035
0.736,1.759,3.404,3.356,4.336,1.44,3.862,1.549
2.862,3.912,6.437,5.924,6.758,0.577,2.451,2.75
3.085,3.574,6.234,6.22,5.724,-5.214,-2.131,1.414
2.639,3.597,5.328,5.94,5.021,-4.949,-2.321,-0.641
2.641,4.624,5.363,6.213,5.284,0.323,0.095,-1.145
3.573,5.782,6.34,7.226,6.089,3.494,1.634,1.17
5.235,6.509,7.854,8.129,7.132,3.811,2.616,4.112
6.524,6.509,8.964,7.712,7.206,2.5,2.156,4.918
7.278,7.019,9.629,6.598,7.138,2.3,1.051,4.692
6.61,7.121,9.154,4.977,7.179,3.141,0.803,3.895
4.596,5.582,7.83,3.711,7.668,5.07,2.738,3.295
2.913,3.676,6.789,3.867,8.863,8.097,5.782,3.735
3.045,3.832,6.88,5.25,10.811,11.343,8.71,4.662
5.05,6.135,8.366,7.291,13.436,13.556,11.54,5.876
6.397,8.071,9.377,8.143,14.578,13.64,12.826,6.598
6.093,9.2,9.262,7.465,14.148,14.991,13.247,7.209
4.195,7.069,7.097,5.184,10.738,12.522,9.172,6.401
0.681,0.598,2.293,1.016,3.407,2.168,-0.921,2.071
-0.609,-2.767,-0.183,-0.821,-0.644,-2.876,-5.304,-1.326
2.443,0.177,2.451,2.041,2.508,2.739,0.388,-0.014
6.145,4.888,6.435,5.804,7.94,8.895,6.16,2.823
7.723,9.135,8.941,7.97,12.42,11.415,8.048,5.129
7.269,11.724,9.728,8.875,15.678,12.889,10.049,8.09
4.781,9.814,7.699,7.236,14.213,8.606,8.047,8.775
1.769,4.803,3.62,3.322,7.594,-1.675,-0.491,4.604
0.41,2.201,1.209,0.749,2.568,-6.311,-5.995,-0.371
1.728,4.557,2.424,1.579,2.768,-2.112,-5.46,-2.389
6.136,10.007,6.234,5.042,6.16,4.255,-3.016,-1.122
9.899,12.68,8.614,7.626,8.184,5.939,-1.846,0.839
8.713,8.957,6.757,6.324,5.515,0.63,-4.992,0.332
5.388,3.304,3.704,3.117,0.702,-6.623,-10.047,-1.894
4.827,1.408,3.4,1.829,-1.656,-9.449,-11.804,-2.669
6.762,3.488,5.601,3.033,-0.783,-6.103,-9.21,-1.502
8.11,5.559,7.245,4.768,0.277,-2.412,-6.359,-0.622
7.51,4.921,6.341,5.36,-0.609,-3.366,-6.993,-1.152
6.357,3.536,4.605,5.021,-1.418,-4.43,-7.472,-1.997
5.581,3.769,4.391,5.21,0.3,-1.138,-2.768,-0.592
2.684,2.739,3.13,4.068,1.15,0.531,0.676,0.976
-2.379,-1.023,-0.895,0.209,-1.576,-2.848,-2.772,-1.331
-4.637,-3.107,-3.031,-1.99,-3.334,-4.215,-5.285,-3.817
-2.521,-2.63,-1.41,-0.513,-2.46,-2.788,-3.945,-3.14
0.099,-2.899,0.057,0.883,-2.432,-3.734,-4.27,-3.272
1.277,-3.309,0.224,0.593,-3.118,-5.098,-5.646,-5.697
2.253,-1.777,0.981,0.476,-1.94,-2.207,-3.831,-6.434
2.218,-0.914,0.82,-0.324,-0.836,1.126,-1.727,-5.717
0.345,-2.633,-1.573,-2.815,-2.229,-1.103,-3.731,-6.004
-0.499,-4.243,-2.767,-3.764,-3.655,-5.861,-6.179,-5.393
1.726,-3.598,-0.515,-1.337,-2.849,-6.225,-4.118,-3.206
5.155,-0.91,3.269,2.252,-0.506,-1.399,1.068,-1.193
6.874,1.751,5.623,4.653,1.475,1.888,3.831,0.013
6.136,2.266,5.2,5.272,2.083,0.443,2.724,0.308
3.62,0.47,2.382,4.029,1.367,-2.836,0.137,-0.267
